frame,A_x,A_y,A_r,H_x,H_y,H_r,M_x,M_y,M_r,R_x,R_y,R_r
511,,,,134,374,4,,,,,,
512,,,,134,373,4,1099,663,5,461,455,8
513,,,,133,373,4,1476,632,5,470,480,9
514,,,,133,373,4,1682,613,4,493,502,7
515,,,,,,,1769,605,5,521,516,4
516,,,,681,412,6,1780,603,4,550,521,5
517,745,495,5,1038,446,7,,,,572,524,7
518,755,529,6,1243,472,4,1151,658,5,,,
519,765,552,5,1343,494,6,727,681,4,582,532,4
520,779,566,4,1368,505,8,,,,585,539,6
521,791,575,5,1352,511,7,711,659,4,588,543,6
522,805,584,7,1315,515,6,723,648,6,587,553,4
523,816,591,5,1270,517,7,750,647,6,582,563,5
524,,,,1228,522,7,781,649,6,577,570,6
525,,,,1193,527,7,810,658,6,,,
526,,,,1163,534,6,835,668,6,568,588,5
527,,,,1143,544,7,853,681,6,558,605,7
528,848,624,7,1132,554,9,867,695,6,,,
529,870,652,7,1127,564,5,875,710,6,546,630,5
530,887,675,6,1123,577,5,879,714,5,533,645,5
531,898,693,7,1122,594,9,879,708,5,521,643,6
532,905,704,5,1124,613,9,877,697,5,512,634,4
533,915,700,4,1127,631,9,875,682,7,502,617,5
534,,,,1129,651,9,873,669,4,494,600,5
535,929,679,7,1131,664,7,869,655,5,484,585,4
536,,,,1135,663,7,865,644,6,475,571,5
537,950,651,5,1141,653,7,862,634,6,465,559,5
538,,,,1146,635,9,859,625,9,457,548,5
539,,,,1150,618,6,855,620,9,448,540,7
540,,,,1153,600,7,,,,439,535,6
541,,,,1158,586,9,778,640,4,430,531,7
542,,,,1164,573,8,,,,421,528,7
543,994,614,4,1167,558,7,802,624,9,412,528,5
544,,,,1172,554,9,817,615,5,403,528,6
