frame,A_x,A_y,A_r,A_score,A_x_smooth,A_y_smooth,M_x,M_y,M_r,M_score,M_x_smooth,M_y_smooth,H_x,H_y,H_r,H_score,H_x_smooth,H_y_smooth,R_x,R_y,R_r,R_score,R_x_smooth,R_y_smooth,X,Y,Z,speed,goal_flag,goal_confidence
91,,,,,,,469,688,10,,862.1280,703.4241,692,763,6,,864.3907,577.5165,1771,419,4,,1105.5995,490.7298,-0.9674,-0.0047,0.0000,2.6113,0,
92,,,,,,,469,688,11,,857.2776,703.2338,664,802,9,,860.8782,581.4514,1887,410,5,,1117.2535,489.5257,-1.0092,-0.0234,0.0000,2.7489,0,
93,,,,,,,483,698,4,,852.7160,703.1700,,,,,,,1913,408,5,,1128.9471,488.3277,0.3083,0.4425,0.0000,,0,
94,,,,,,,482,694,9,,848.2523,703.0596,,,,,,,1889,411,5,,1139.9544,487.2078,0.3410,0.4487,0.0000,1.9975,0,
95,,,,,,,499,694,4,,844.0970,702.9518,,,,,,,1839,416,4,,1149.9336,486.1913,0.3702,0.4543,0.0000,1.7794,0,
96,1152,657,5,,1086.6296,671.9345,509,692,4,,840.1570,702.8230,,,,,,,,,,,,,0.0339,-0.4738,0.0000,,0,
97,1129,640,6,,1087.3472,671.3937,,,,,,,,,,,,,1136,463,4,,1149.7375,485.8649,1.5854,0.6137,0.0000,,0,
98,,,,,,,835,639,5,,840.0970,702.0813,482,775,4,,854.3514,584.7855,,,,,,,-1.1278,-0.0343,0.0000,,0,
99,,,,,,,1042,603,4,,842.4164,700.9431,372,752,4,,846.1829,587.6173,680,488,4,,1143.2179,485.8945,-1.1570,-0.0428,0.0000,1.8268,0,
100,,,,,,,1157,581,5,,845.9892,699.5809,316,735,4,,837.3539,590.0716,414,500,5,,1133.2355,486.0876,-1.1833,-0.0483,0.0000,1.6105,0,
101,,,,,,,1208,569,4,,850.0545,698.1145,296,722,4,,828.4865,592.2326,283,504,4,,1121.7535,486.3295,-1.2073,-0.0517,0.0000,1.4556,0,
102,,,,,,,1219,564,4,,854.1516,696.6252,298,714,5,,819.9371,594.1950,243,502,4,,1110.0446,486.5383,-1.2296,-0.0541,0.0000,1.3432,0,
103,1106,603,4,,1087.6578,670.2548,1207,564,4,,858.0269,695.1686,312,709,5,,811.8810,596.0159,257,498,4,,1098.8277,486.6890,-0.1023,0.0686,0.0000,,0,
104,1093,580,4,,1087.7453,668.7764,1184,567,4,,861.5682,693.7762,330,706,5,,804.3575,597.7330,298,493,4,,1088.4341,486.7709,-0.1395,0.0675,0.0000,2.2319,0,
105,1086,568,4,,1087.7172,667.1523,1158,571,4,,864.7539,692.4567,348,705,5,,797.3420,599.3820,349,490,4,,1078.9603,486.8123,-0.1747,0.0673,0.0000,2.1131,0,
106,,,,,,,1134,575,4,,867.6167,691.2079,,,,,,,400,487,4,,1070.3713,486.8147,0.0899,0.5099,0.0000,30.9390,0,
107,,,,,,,1113,579,5,,870.1983,690.0274,538,736,4,,793.4156,601.4504,443,485,4,,1062.5340,486.7920,-1.2819,-0.0574,0.0000,,0,
108,,,,,,,1097,583,6,,872.5596,688.9131,,,,,,,477,485,4,,1055.3097,486.7699,0.0393,0.5216,0.0000,,0,
